num_sentences,num_words,num_verbs,num_nouns,average_word_length,page_number
2,257,33,122,4.599221789883268,1
23,1056,161,328,4.120265151515151,2
32,881,135,259,4.398410896708286,3
4,372,44,154,4.494623655913978,4
23,705,88,237,4.170212765957447,5
14,687,109,226,4.292576419213974,6
29,1190,188,337,4.146218487394958,7
34,804,116,246,4.278606965174129,8
38,1576,246,467,4.083121827411167,9
19,1195,104,466,4.006694560669456,10
11,548,78,197,4.182481751824818,11
29,1075,135,359,4.594418604651163,12
13,1127,189,344,4.154392191659272,13
14,566,64,204,4.093639575971731,14
29,938,126,303,4.52771855010661,15
26,1151,114,435,4.257167680278019,16
38,1195,162,390,4.43347280334728,17
3,156,13,90,4.5576923076923075,18
32,1164,178,345,4.502577319587629,19
3,147,15,88,4.993197278911564,20
31,988,174,284,4.3603238866396765,21
2,155,10,92,5.135483870967742,22
34,1184,195,368,4.183277027027027,23
10,1486,133,578,4.0477792732166895,24
14,697,120,209,3.902439024390244,25
8,554,73,181,3.8231046931407944,26
33,748,107,253,4.5,27
45,1598,260,470,4.580100125156446,28
34,882,137,257,4.3106575963718825,29
13,691,102,232,4.551374819102749,30
12,543,62,205,4.476979742173112,31
20,959,112,348,4.105318039624609,32
14,542,75,202,4.472324723247232,33
95,2666,404,768,4.398349587396849,34
19,794,128,269,4.4634760705289676,35
13,810,160,232,4.080246913580247,36
19,677,120,226,4.186115214180207,37
38,1033,130,386,3.947725072604066,38
12,425,47,153,4.04235294117647,39
11,572,79,182,3.9702797202797204,40
18,778,101,255,4.096401028277635,41
17,654,109,223,4.422018348623853,42
31,991,153,311,4.266397578203835,43
26,732,117,227,4.050546448087432,44
32,872,134,273,4.2213302752293576,45
13,604,64,212,3.9072847682119205,46
11,475,77,183,4.496842105263158,47
50,1471,222,414,4.361658735554045,48
5,389,52,156,4.611825192802057,49
13,874,93,352,4.04462242562929,50
20,763,106,272,4.423328964613368,51
18,649,102,210,4.1155624036979965,52
18,577,78,208,4.339688041594454,53
3,152,7,106,5.75,54
28,864,128,280,4.604166666666667,55
4,151,10,90,4.509933774834437,56
37,1150,214,373,4.160869565217391,57
31,1175,178,367,4.385531914893617,58
27,869,139,269,4.182968929804373,59
40,1192,172,337,4.143456375838926,60
48,924,145,256,4.544372294372295,61
29,1258,200,345,4.297297297297297,62
22,925,129,315,4.447567567567567,63
26,814,127,264,4.542997542997543,64
24,828,119,287,4.405797101449275,65
24,831,116,277,4.943441636582431,66
29,938,126,303,4.52771855010661,67
24,869,135,288,4.309551208285385,68
28,1038,142,334,4.4508670520231215,69
20,619,97,201,4.119547657512117,70
4,150,11,93,4.486666666666666,71
5,156,11,93,4.461538461538462,72
16,489,58,181,4.18200408997955,73
9,504,68,193,4.238095238095238,74
27,1013,150,312,4.571569595261599,75
2,167,19,89,4.574850299401198,76
20,807,129,231,4.298636926889715,77
22,1054,205,266,3.838709677419355,78
32,1175,226,308,3.86468085106383,79
18,711,151,200,4.174402250351617,80
21,859,160,227,3.8440046565774155,81
23,821,138,247,4.066991473812424,82
55,1372,230,358,4.190962099125365,83
18,902,155,260,4.1452328159645235,84
13,635,114,194,4.102362204724409,85
11,807,145,227,3.7608426270136306,86
37,913,143,276,4.681270536692224,87
21,894,141,264,4.2539149888143175,88
13,642,104,209,4.235202492211838,89
39,1339,198,416,4.982823002240478,90
16,548,80,191,4.633211678832117,91
29,1095,200,330,4.394520547945206,92
14,675,116,234,4.327407407407407,93
12,673,111,222,4.123328380386329,94
2,134,10,87,4.985074626865671,95
29,717,104,231,4.535564853556485,96
27,1304,139,484,3.9754601226993866,97
20,1052,148,351,4.266159695817491,98
16,760,134,219,4.136842105263158,99
17,989,175,279,4.2153690596562186,100
